ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,2019,0,Total,51100,14133,"Census Tract 2, Bronx County, NY",14000US36005000200
2019,2019,0,Total,78409,11642,"Census Tract 4, Bronx County, NY",14000US36005000400
2019,2019,0,Total,34093,2370,"Census Tract 16, Bronx County, NY",14000US36005001600
2019,2019,0,Total,45156,8158,"Census Tract 19, Bronx County, NY",14000US36005001900
2019,2019,0,Total,20592,5007,"Census Tract 20, Bronx County, NY",14000US36005002000
2019,2019,0,Total,18688,3641,"Census Tract 23, Bronx County, NY",14000US36005002300
2019,2019,0,Total,23115,8426,"Census Tract 25, Bronx County, NY",14000US36005002500
2019,2019,0,Total,18832,2799,"Census Tract 27.01, Bronx County, NY",14000US36005002701
2019,2019,0,Total,13097,2101,"Census Tract 27.02, Bronx County, NY",14000US36005002702
2019,2019,0,Total,51138,3986,"Census Tract 28, Bronx County, NY",14000US36005002800
2019,2019,0,Total,43255,5431,"Census Tract 31, Bronx County, NY",14000US36005003100
2019,2019,0,Total,22127,5882,"Census Tract 33, Bronx County, NY",14000US36005003300
2019,2019,0,Total,31310,6819,"Census Tract 35, Bronx County, NY",14000US36005003500
2019,2019,0,Total,33681,15765,"Census Tract 38, Bronx County, NY",14000US36005003800
2019,2019,0,Total,25772,11016,"Census Tract 39, Bronx County, NY",14000US36005003900
2019,2019,0,Total,54868,13585,"Census Tract 40.01, Bronx County, NY",14000US36005004001
2019,2019,0,Total,19643,6689,"Census Tract 41, Bronx County, NY",14000US36005004100
2019,2019,0,Total,43293,17481,"Census Tract 42, Bronx County, NY",14000US36005004200
2019,2019,0,Total,21689,5670,"Census Tract 43, Bronx County, NY",14000US36005004300
2019,2019,0,Total,17297,4496,"Census Tract 44, Bronx County, NY",14000US36005004400
2019,2019,0,Total,21360,9874,"Census Tract 46, Bronx County, NY",14000US36005004600
2019,2019,0,Total,33403,11507,"Census Tract 48, Bronx County, NY",14000US36005004800
2019,2019,0,Total,27009,5002,"Census Tract 50.01, Bronx County, NY",14000US36005005001
2019,2019,0,Total,31795,5159,"Census Tract 50.02, Bronx County, NY",14000US36005005002
2019,2019,0,Total,19115,4154,"Census Tract 51, Bronx County, NY",14000US36005005100
2019,2019,0,Total,21140,5522,"Census Tract 52, Bronx County, NY",14000US36005005200
2019,2019,0,Total,16583,3673,"Census Tract 53, Bronx County, NY",14000US36005005300
2019,2019,0,Total,35189,5145,"Census Tract 54, Bronx County, NY",14000US36005005400
2019,2019,0,Total,27153,8749,"Census Tract 56, Bronx County, NY",14000US36005005600
2019,2019,0,Total,30844,5505,"Census Tract 59.02, Bronx County, NY",14000US36005005902
2019,2019,0,Total,34898,5954,"Census Tract 60, Bronx County, NY",14000US36005006000
2019,2019,0,Total,45361,3720,"Census Tract 61, Bronx County, NY",14000US36005006100
2019,2019,0,Total,25206,6611,"Census Tract 62, Bronx County, NY",14000US36005006200
2019,2019,0,Total,37306,7217,"Census Tract 63, Bronx County, NY",14000US36005006300
2019,2019,0,Total,38415,7164,"Census Tract 64, Bronx County, NY",14000US36005006400
2019,2019,0,Total,25467,5352,"Census Tract 65, Bronx County, NY",14000US36005006500
2019,2019,0,Total,19813,7803,"Census Tract 67, Bronx County, NY",14000US36005006700
2019,2019,0,Total,54395,9638,"Census Tract 68, Bronx County, NY",14000US36005006800
2019,2019,0,Total,37590,11520,"Census Tract 69, Bronx County, NY",14000US36005006900
2019,2019,0,Total,50500,19433,"Census Tract 70, Bronx County, NY",14000US36005007000
2019,2019,0,Total,42292,8157,"Census Tract 71, Bronx County, NY",14000US36005007100
2019,2019,0,Total,43197,11922,"Census Tract 72, Bronx County, NY",14000US36005007200
2019,2019,0,Total,22344,6194,"Census Tract 73, Bronx County, NY",14000US36005007300
2019,2019,0,Total,39537,13570,"Census Tract 74, Bronx County, NY",14000US36005007400
2019,2019,0,Total,30706,7264,"Census Tract 75, Bronx County, NY",14000US36005007500
2019,2019,0,Total,46176,9176,"Census Tract 76, Bronx County, NY",14000US36005007600
2019,2019,0,Total,38417,7949,"Census Tract 77, Bronx County, NY",14000US36005007700
2019,2019,0,Total,52360,13613,"Census Tract 78, Bronx County, NY",14000US36005007800
2019,2019,0,Total,26307,10488,"Census Tract 79, Bronx County, NY",14000US36005007900
2019,2019,0,Total,32167,7739,"Census Tract 83, Bronx County, NY",14000US36005008300
2019,2019,0,Total,85750,3282,"Census Tract 84, Bronx County, NY",14000US36005008400
2019,2019,0,Total,31370,2847,"Census Tract 85, Bronx County, NY",14000US36005008500
2019,2019,0,Total,21848,6207,"Census Tract 86, Bronx County, NY",14000US36005008600
2019,2019,0,Total,23967,8741,"Census Tract 87, Bronx County, NY",14000US36005008700
2019,2019,0,Total,28642,10783,"Census Tract 89, Bronx County, NY",14000US36005008900
2019,2019,0,Total,24487,5277,"Census Tract 90, Bronx County, NY",14000US36005009000
2019,2019,0,Total,50176,9847,"Census Tract 92, Bronx County, NY",14000US36005009200
2019,2019,0,Total,32852,9739,"Census Tract 93, Bronx County, NY",14000US36005009300
2019,2019,0,Total,50809,10466,"Census Tract 96, Bronx County, NY",14000US36005009600
2019,2019,0,Total,68487,15886,"Census Tract 98, Bronx County, NY",14000US36005009800
2019,2019,0,Total,17656,6387,"Census Tract 115.02, Bronx County, NY",14000US36005011502
2019,2019,0,Total,21595,7938,"Census Tract 117, Bronx County, NY",14000US36005011700
2019,2019,0,Total,86250,18328,"Census Tract 118, Bronx County, NY",14000US36005011800
2019,2019,0,Total,28988,4139,"Census Tract 119, Bronx County, NY",14000US36005011900
2019,2019,0,Total,39514,6713,"Census Tract 121.01, Bronx County, NY",14000US36005012101
2019,2019,0,Total,23244,5917,"Census Tract 121.02, Bronx County, NY",14000US36005012102
2019,2019,0,Total,31519,4587,"Census Tract 123, Bronx County, NY",14000US36005012300
2019,2019,0,Total,34903,4887,"Census Tract 125, Bronx County, NY",14000US36005012500
2019,2019,0,Total,31212,4127,"Census Tract 127.01, Bronx County, NY",14000US36005012701
2019,2019,0,Total,25633,2899,"Census Tract 129.01, Bronx County, NY",14000US36005012901
2019,2019,0,Total,106346,30901,"Census Tract 130, Bronx County, NY",14000US36005013000
2019,2019,0,Total,26750,3669,"Census Tract 131, Bronx County, NY",14000US36005013100
2019,2019,0,Total,118211,19040,"Census Tract 132, Bronx County, NY",14000US36005013200
2019,2019,0,Total,23484,5069,"Census Tract 133, Bronx County, NY",14000US36005013300
2019,2019,0,Total,24392,6244,"Census Tract 135, Bronx County, NY",14000US36005013500
2019,2019,0,Total,67705,14571,"Census Tract 138, Bronx County, NY",14000US36005013800
2019,2019,0,Total,31205,1735,"Census Tract 141, Bronx County, NY",14000US36005014100
2019,2019,0,Total,17204,6264,"Census Tract 143, Bronx County, NY",14000US36005014300
2019,2019,0,Total,22095,7759,"Census Tract 144, Bronx County, NY",14000US36005014400
