UID,Borough,BreedName
0,Brooklyn,Beagle
1,Brooklyn,Boxer
2,Bronx,Maltese
3,Brooklyn,Pug
4,Bronx,Maltese
5,Brooklyn,Unknown
6,Manhattan,Pug
7,Staten Island,Unknown
8,Brooklyn,Boxer
9,Bronx,Beagle
10,Manhattan,Boxer
11,Queens,Chihuahua
12,Queens,Unknown
13,Bronx,Maltese
14,Queens,Pug
15,Queens,Beagle
16,Bronx,Unknown
17,Bronx,Bichon Frise
18,Bronx,Maltese
19,Bronx,Beagle
20,Bronx,Poodle
21,Brooklyn,Shih Tzu
22,Bronx,Pug
23,Queens,Bichon Frise
24,Bronx,Puggle
25,Bronx,Unknown
26,Brooklyn,Pug
27,Manhattan,Unknown
28,Queens,Poodle
29,Queens,Pug
30,Manhattan,Unknown
31,Bronx,Unknown
32,Brooklyn,Puggle
33,Queens,Beagle
34,Queens,Unknown
35,Queens,Unknown
36,Queens,Unknown
37,Manhattan,Poodle
38,Bronx,Akita
39,Bronx,Chihuahua
40,Brooklyn,Samoyed
41,Brooklyn,Pug
42,Bronx,Unknown
43,Queens,Beagle
44,Brooklyn,Unknown
45,Queens,Chow Chow
46,Queens,Pug
47,Manhattan,Pug
48,Bronx,Unknown
49,Bronx,Unknown
50,Queens,Maltese
51,Manhattan,Basenji
52,Manhattan,Havanese
53,Manhattan,Pug
54,Brooklyn,Shih Tzu
55,Queens,Unknown
56,Brooklyn,Unknown
57,Brooklyn,Unknown
58,Queens,Unknown
59,Brooklyn,Chihuahua
60,Queens,Shih Tzu
61,Bronx,Pug
62,Brooklyn,Pug
63,Queens,Maltese
64,Manhattan,Chow Chow
65,Queens,Akita
67,Bronx,Pug
68,Bronx,Pug
69,Brooklyn,Maltese
70,Queens,Pug
71,Brooklyn,Unknown
72,Brooklyn,Lhasa Apso
73,Manhattan,Unknown
74,Brooklyn,Shih Tzu
75,Queens,Maltese
76,Brooklyn,Puggle
77,Queens,Shih Tzu
78,Staten Island,Unknown
79,Manhattan,Chihuahua
80,Manhattan,Beagle
81,Queens,Boxer
82,Bronx,Shih Tzu
83,Bronx,Unknown
84,Brooklyn,Maltese
85,Bronx,Unknown
86,Brooklyn,Maltese
87,Queens,Unknown
88,Bronx,Shih Tzu
89,Brooklyn,Unknown
90,Queens,Cocker Spaniel
91,Brooklyn,Pug
93,Manhattan,Pug
94,Manhattan,Chihuahua
95,Queens,Puggle
96,Staten Island,Pug
97,Queens,Boxer
98,Brooklyn,Beagle
99,Bronx,Maltese
100,Queens,Maltese
101,Queens,Maltese
102,Manhattan,Lhasa Apso
103,Queens,Unknown
104,Brooklyn,Maltese
105,Bronx,Chihuahua
106,Bronx,Morkie
107,Queens,Pug
108,Queens,Unknown
109,Manhattan,Pug
110,Manhattan,Unknown
111,Queens,Puggle
112,Bronx,Unknown
113,Queens,Unknown
114,Manhattan,Maltese
115,Queens,Pug
116,Brooklyn,Pug
117,Bronx,Unknown
118,Bronx,Unknown
119,Manhattan,Unknown
120,Queens,Unknown
121,Queens,Maltese
122,Manhattan,Maltese
123,Brooklyn,Unknown
124,Queens,Beagle
125,Queens,Puggle
126,Bronx,Pug
128,Bronx,Unknown
129,Brooklyn,Unknown
130,Manhattan,Akita Crossbreed
131,Manhattan,Labrador Retriever Crossbreed
132,Manhattan,Unknown
133,Manhattan,American Pit Bull Mix / Pit Bull Mix
134,Manhattan,Unknown
135,Manhattan,Basenji
136,Manhattan,Maltese
137,Bronx,Boxer
138,Bronx,American Pit Bull Mix / Pit Bull Mix
139,Brooklyn,Beagle
140,Manhattan,American Pit Bull Terrier/Pit Bull
141,Staten Island,Bull Terrier
142,Manhattan,Yorkshire Terrier
143,Manhattan,Miniature Pinscher
144,Manhattan,Unknown
145,Manhattan,Havanese
146,Manhattan,Unknown
147,Manhattan,German Shorthaired Pointer
148,Staten Island,Boxer
149,Brooklyn,Cavalier King Charles Spaniel
150,Manhattan,Unknown
151,Manhattan,Cavalier King Charles Spaniel
152,Brooklyn,Dachshund Smooth Coat Miniature
153,Manhattan,"Poodle, Standard"
154,Brooklyn,German Shepherd Dog
155,Brooklyn,American Pit Bull Terrier/Pit Bull
156,Brooklyn,Beagle
157,Brooklyn,Boxer
158,Brooklyn,"Bull Dog, French"
159,Brooklyn,Dachshund Smooth Coat
160,Manhattan,"Dachshund, Long Haired"
161,Brooklyn,German Shorthaired Pointer
162,Bronx,Labrador Retriever
163,Manhattan,Golden Retriever
164,Queens,"Schnauzer, Miniature"
165,Brooklyn,Beagle
166,Brooklyn,Unknown
167,Manhattan,Labrador Retriever Crossbreed
168,Brooklyn,Yorkshire Terrier
169,Bronx,"Schnauzer, Miniature"
170,Brooklyn,Norfolk Terrier
171,Brooklyn,Boston Terrier
172,Manhattan,Bichon Frise
173,Manhattan,Unknown
174,Manhattan,Labrador Retriever
175,Bronx,Yorkshire Terrier
176,Manhattan,Shih Tzu
177,Manhattan,Labrador Retriever Crossbreed
178,Brooklyn,Cavalier King Charles Spaniel
179,Brooklyn,"Poodle, Miniature"
180,Bronx,Bichon Frise
181,Manhattan,Unknown
182,Bronx,Unknown
183,Manhattan,Unknown
184,Bronx,Maltese
185,Queens,Chihuahua
186,Staten Island,Bichon Frise
187,Manhattan,American Pit Bull Mix / Pit Bull Mix
188,Brooklyn,Chihuahua
189,Queens,Rottweiler
190,Manhattan,Unknown
191,Brooklyn,"Schnauzer, Miniature"
192,Queens,Beagle
193,Manhattan,Boxer
194,Manhattan,American Pit Bull Mix / Pit Bull Mix
195,Queens,"Bull Dog, French"
196,Manhattan,Chihuahua
197,Manhattan,American Pit Bull Mix / Pit Bull Mix
198,Manhattan,"Collie, Border"
199,Manhattan,"Collie, Smooth Coat"
200,Brooklyn,Siberian Husky
201,Manhattan,Beagle
202,Manhattan,Unknown
203,Manhattan,Unknown
204,Manhattan,Golden Retriever
205,Queens,Labrador Retriever
206,Manhattan,Lhasa Apso
207,Queens,Unknown
208,Queens,Beagle
209,Staten Island,Puggle
210,Manhattan,"Bull Dog, English"
211,Manhattan,Poodle
212,Manhattan,American Eskimo dog
213,Manhattan,Cocker Spaniel
214,Manhattan,Kooikerhondje
215,Staten Island,French Bulldog
216,Staten Island,Yorkshire Terrier
217,Manhattan,Unknown
218,Manhattan,Shih Tzu
219,Queens,American Pit Bull Terrier/Pit Bull
220,Queens,Jack Russell Terrier
221,Brooklyn,American Pit Bull Mix / Pit Bull Mix
222,Manhattan,Boxer
223,Brooklyn,Labradoodle
224,Bronx,"Poodle, Toy"
225,Queens,Labrador Retriever
226,Bronx,Chihuahua
227,Bronx,Bulldog
228,Manhattan,Beagle
229,Manhattan,Shiba Inu
230,Manhattan,Unknown
231,Manhattan,Yorkshire Terrier
232,Manhattan,Pug
233,Manhattan,Havanese
234,Manhattan,"Dachshund, Long Haired Miniature"
235,Brooklyn,American Pit Bull Mix / Pit Bull Mix
236,Manhattan,Italian Greyhound
