UID,Borough,BirthMonth
0,Brooklyn,1
1,Brooklyn,10
2,Bronx,9
3,Brooklyn,8
4,Bronx,10
5,Brooklyn,1
6,Manhattan,5
7,Staten Island,5
8,Brooklyn,4
9,Bronx,1
10,Manhattan,8
11,Queens,4
12,Queens,7
13,Bronx,12
14,Queens,4
15,Queens,2
16,Bronx,10
17,Bronx,4
18,Bronx,11
19,Bronx,4
20,Bronx,7
21,Brooklyn,1
22,Bronx,7
23,Queens,4
24,Bronx,1
25,Bronx,8
26,Brooklyn,1
27,Manhattan,1
28,Queens,6
29,Queens,5
30,Manhattan,7
31,Bronx,5
32,Brooklyn,6
33,Queens,4
34,Queens,9
35,Queens,8
36,Queens,7
37,Manhattan,1
38,Bronx,7
39,Bronx,1
40,Brooklyn,9
41,Brooklyn,12
42,Bronx,1
43,Queens,10
44,Brooklyn,1
45,Queens,10
46,Queens,10
47,Manhattan,4
48,Bronx,9
49,Bronx,1
50,Queens,1
51,Manhattan,12
52,Manhattan,3
53,Manhattan,9
54,Brooklyn,9
55,Queens,11
56,Brooklyn,9
57,Brooklyn,1
58,Queens,2
59,Brooklyn,3
60,Queens,8
61,Bronx,4
62,Brooklyn,11
63,Queens,4
64,Manhattan,5
65,Queens,12
67,Bronx,11
68,Bronx,5
69,Brooklyn,11
70,Queens,1
71,Brooklyn,2
72,Brooklyn,2
73,Manhattan,9
74,Brooklyn,11
75,Queens,4
76,Brooklyn,2
77,Queens,9
78,Staten Island,9
79,Manhattan,11
80,Manhattan,1
81,Queens,5
82,Bronx,12
83,Bronx,1
84,Brooklyn,9
85,Bronx,1
86,Brooklyn,7
87,Queens,6
88,Bronx,1
89,Brooklyn,4
90,Queens,1
91,Brooklyn,2
93,Manhattan,12
94,Manhattan,1
95,Queens,4
96,Staten Island,7
97,Queens,4
98,Brooklyn,9
99,Bronx,4
100,Queens,5
101,Queens,1
102,Manhattan,2
103,Queens,1
104,Brooklyn,5
105,Bronx,7
106,Bronx,4
107,Queens,3
108,Queens,1
109,Manhattan,5
110,Manhattan,12
111,Queens,6
112,Bronx,1
113,Queens,1
114,Manhattan,7
115,Queens,1
116,Brooklyn,2
117,Bronx,12
118,Bronx,1
119,Manhattan,1
120,Queens,5
121,Queens,6
122,Manhattan,10
123,Brooklyn,10
124,Queens,12
125,Queens,7
126,Bronx,8
128,Bronx,1
129,Brooklyn,7
130,Manhattan,4
131,Manhattan,6
132,Manhattan,1
133,Manhattan,7
134,Manhattan,4
135,Manhattan,1
136,Manhattan,6
137,Bronx,9
138,Bronx,1
139,Brooklyn,5
140,Manhattan,6
141,Staten Island,10
142,Manhattan,7
143,Manhattan,8
144,Manhattan,1
145,Manhattan,7
146,Manhattan,1
147,Manhattan,12
148,Staten Island,9
149,Brooklyn,4
150,Manhattan,12
151,Manhattan,3
152,Brooklyn,3
153,Manhattan,4
154,Brooklyn,7
155,Brooklyn,12
156,Brooklyn,9
157,Brooklyn,7
158,Brooklyn,7
159,Brooklyn,9
160,Manhattan,10
161,Brooklyn,8
162,Bronx,4
163,Manhattan,8
164,Queens,6
165,Brooklyn,4
166,Brooklyn,1
167,Manhattan,3
168,Brooklyn,6
169,Bronx,11
170,Brooklyn,2
171,Brooklyn,2
172,Manhattan,6
173,Manhattan,3
174,Manhattan,5
175,Bronx,9
176,Manhattan,1
177,Manhattan,1
178,Brooklyn,11
179,Brooklyn,4
180,Bronx,11
181,Manhattan,5
182,Bronx,1
183,Manhattan,6
184,Bronx,10
185,Queens,1
186,Staten Island,8
187,Manhattan,11
188,Brooklyn,12
189,Queens,3
190,Manhattan,1
191,Brooklyn,12
192,Queens,8
193,Manhattan,11
194,Manhattan,1
195,Queens,1
196,Manhattan,5
197,Manhattan,1
198,Manhattan,4
199,Manhattan,12
200,Brooklyn,9
201,Manhattan,1
202,Manhattan,4
203,Manhattan,1
204,Manhattan,6
205,Queens,5
206,Manhattan,7
207,Queens,12
208,Queens,2
209,Staten Island,1
210,Manhattan,4
211,Manhattan,6
212,Manhattan,4
213,Manhattan,1
214,Manhattan,7
215,Staten Island,4
216,Staten Island,7
217,Manhattan,4
218,Manhattan,6
219,Queens,9
220,Queens,10
221,Brooklyn,6
222,Manhattan,4
223,Brooklyn,7
224,Bronx,5
225,Queens,6
226,Bronx,9
227,Bronx,9
228,Manhattan,1
229,Manhattan,1
230,Manhattan,2
231,Manhattan,7
232,Manhattan,2
233,Manhattan,4
234,Manhattan,2
235,Brooklyn,12
236,Manhattan,1
237,Brooklyn,5
238,Queens,7
239,Brooklyn,1
240,Manhattan,5
241,Bronx,4
242,Bronx,4
243,Bronx,10
244,Manhattan,11
245,Bronx,6
246,Bronx,5
247,Brooklyn,11
248,Manhattan,5
249,Manhattan,5
250,Brooklyn,10
251,Bronx,4
252,Bronx,4
253,Brooklyn,11
254,Queens,6
255,Queens,6
256,Brooklyn,5
257,Brooklyn,7
258,Brooklyn,2
259,Manhattan,5
260,Brooklyn,10
261,Manhattan,7
262,Brooklyn,11
263,Bronx,12
264,Brooklyn,12
265,Queens,4
266,Manhattan,9
267,Brooklyn,3
268,Brooklyn,5
269,Staten Island,3
270,Manhattan,11
271,Queens,4
272,Brooklyn,11
273,Manhattan,11
274,Brooklyn,1
275,Queens,8
276,Brooklyn,1
277,Brooklyn,1
278,Manhattan,8
279,Bronx,8
280,Brooklyn,6
281,Brooklyn,1
282,Queens,5
283,Manhattan,8
284,Brooklyn,1
285,Manhattan,7
286,Manhattan,2
287,Brooklyn,10
288,Brooklyn,1
289,Staten Island,6
290,Manhattan,3
291,Manhattan,6
292,Queens,10
293,Manhattan,11
294,Bronx,4
295,Manhattan,12
296,Staten Island,4
297,Brooklyn,7
298,Bronx,1
299,Manhattan,8
300,Manhattan,1
301,Staten Island,8
302,Bronx,9
303,Bronx,1
304,Manhattan,5
305,Brooklyn,3
306,Staten Island,4
307,Manhattan,4
308,Manhattan,7
309,Brooklyn,8
310,Manhattan,12
311,Brooklyn,5
312,Staten Island,5
313,Manhattan,9
314,Brooklyn,1
315,Brooklyn,12
316,Queens,8
317,Bronx,1
318,Manhattan,3
319,Manhattan,7
320,Queens,2
321,Bronx,1
322,Manhattan,7
323,Queens,9
324,Queens,3
325,Queens,6
326,Manhattan,1
327,Brooklyn,1
328,Brooklyn,1
329,Brooklyn,5
330,Manhattan,11
331,Queens,8
332,Manhattan,1
333,Queens,5
334,Manhattan,3
335,Manhattan,9
336,Brooklyn,4
337,Brooklyn,11
338,Brooklyn,12
339,Brooklyn,9
340,Brooklyn,1
341,Queens,5
342,Bronx,12
343,Manhattan,2
344,Manhattan,5
345,Queens,6
346,Manhattan,2
347,Manhattan,4
348,Manhattan,6
349,Manhattan,11
350,Manhattan,10
351,Manhattan,1
352,Manhattan,9
353,Bronx,8
354,Brooklyn,7
355,Manhattan,12
356,Manhattan,9
357,Brooklyn,7
358,Brooklyn,10
359,Brooklyn,3
360,Manhattan,6
361,Brooklyn,4
362,Brooklyn,9
363,Manhattan,9
364,Bronx,3
365,Brooklyn,7
366,Bronx,2
367,Manhattan,8
368,Queens,5
369,Staten Island,1
370,Manhattan,10
371,Queens,9
372,Staten Island,1
373,Manhattan,3
374,Manhattan,6
375,Manhattan,8
376,Brooklyn,3
377,Manhattan,8
378,Brooklyn,8
379,Queens,2
380,Staten Island,12
381,Manhattan,4
382,Staten Island,1
383,Manhattan,10
384,Staten Island,8
385,Queens,10
386,Queens,7
387,Queens,1
388,Bronx,5
389,Queens,9
390,Manhattan,1
391,Bronx,1
392,Brooklyn,10
393,Queens,5
394,Brooklyn,8
395,Manhattan,5
396,Manhattan,3
397,Brooklyn,6
398,Manhattan,11
399,Manhattan,1
400,Manhattan,2
401,Manhattan,2
402,Manhattan,8
403,Manhattan,10
404,Manhattan,8
405,Manhattan,7
406,Manhattan,7
407,Brooklyn,4
408,Bronx,5
409,Staten Island,7
410,Manhattan,9
411,Brooklyn,11
412,Brooklyn,12
413,Brooklyn,3
414,Brooklyn,9
415,Manhattan,4
416,Manhattan,8
417,Manhattan,4
418,Queens,3
419,Queens,11
420,Brooklyn,1
421,Queens,10
422,Manhattan,6
423,Bronx,12
424,Manhattan,6
425,Manhattan,12
426,Manhattan,5
427,Manhattan,6
428,Brooklyn,2
429,Brooklyn,1
430,Brooklyn,6
431,Queens,5
432,Manhattan,4
433,Queens,4
434,Manhattan,4
435,Brooklyn,6
436,Manhattan,3
437,Brooklyn,6
438,Queens,7
439,Brooklyn,8
440,Brooklyn,8
441,Brooklyn,5
442,Staten Island,1
443,Manhattan,4
444,Staten Island,11
445,Manhattan,1
446,Bronx,6
447,Manhattan,11
448,Brooklyn,10
