UID,Borough,Gender
0,Brooklyn,M
1,Brooklyn,M
2,Bronx,M
3,Brooklyn,F
4,Bronx,M
5,Brooklyn,M
6,Manhattan,M
7,Staten Island,F
8,Brooklyn,F
9,Bronx,M
10,Manhattan,F
11,Queens,F
12,Queens,F
13,Bronx,M
14,Queens,M
15,Queens,F
16,Bronx,F
17,Bronx,M
18,Bronx,M
19,Bronx,M
20,Bronx,F
21,Brooklyn,M
22,Bronx,F
23,Queens,M
24,Bronx,F
25,Bronx,M
26,Brooklyn,M
27,Manhattan,M
28,Queens,M
29,Queens,F
30,Manhattan,M
31,Bronx,M
32,Brooklyn,M
33,Queens,F
34,Queens,M
35,Queens,M
36,Queens,M
37,Manhattan,M
38,Bronx,M
39,Bronx,F
40,Brooklyn,F
41,Brooklyn,M
42,Bronx,M
43,Queens,F
44,Brooklyn,F
45,Queens,F
46,Queens,M
47,Manhattan,F
48,Bronx,M
49,Bronx,M
50,Queens,M
51,Manhattan,F
52,Manhattan,M
53,Manhattan,F
54,Brooklyn,F
55,Queens,F
56,Brooklyn,F
57,Brooklyn,M
58,Queens,M
59,Brooklyn,F
60,Queens,M
61,Bronx,M
62,Brooklyn,F
63,Queens,F
64,Manhattan,M
65,Queens,M
67,Bronx,M
68,Bronx,M
69,Brooklyn,F
70,Queens,M
71,Brooklyn,F
72,Brooklyn,F
73,Manhattan,F
74,Brooklyn,F
75,Queens,M
76,Brooklyn,M
77,Queens,M
78,Staten Island,F
79,Manhattan,F
80,Manhattan,F
81,Queens,F
82,Bronx,F
83,Bronx,M
84,Brooklyn,F
85,Bronx,M
86,Brooklyn,M
87,Queens,M
88,Bronx,M
89,Brooklyn,M
90,Queens,M
91,Brooklyn,F
93,Manhattan,F
94,Manhattan,M
95,Queens,M
96,Staten Island,M
97,Queens,M
98,Brooklyn,F
99,Bronx,M
100,Queens,M
101,Queens,F
102,Manhattan,M
103,Queens,F
104,Brooklyn,M
105,Bronx,M
106,Bronx,F
107,Queens,M
108,Queens,F
109,Manhattan,F
110,Manhattan,F
111,Queens,M
112,Bronx,M
113,Queens,M
114,Manhattan,F
115,Queens,F
116,Brooklyn,M
117,Bronx,F
118,Bronx,M
119,Manhattan,F
120,Queens,F
121,Queens,F
122,Manhattan,M
123,Brooklyn,F
124,Queens,F
125,Queens,M
126,Bronx,F
128,Bronx,F
129,Brooklyn,M
130,Manhattan,F
131,Manhattan,F
132,Manhattan,M
133,Manhattan,F
134,Manhattan,M
135,Manhattan,M
136,Manhattan,F
137,Bronx,M
138,Bronx,M
139,Brooklyn,F
140,Manhattan,F
141,Staten Island,M
142,Manhattan,F
143,Manhattan,F
144,Manhattan,M
145,Manhattan,M
146,Manhattan,F
147,Manhattan,M
148,Staten Island,F
149,Brooklyn,F
150,Manhattan,F
151,Manhattan,F
152,Brooklyn,F
153,Manhattan,F
154,Brooklyn,M
155,Brooklyn,M
156,Brooklyn,F
157,Brooklyn,M
158,Brooklyn,M
159,Brooklyn,F
160,Manhattan,M
161,Brooklyn,M
162,Bronx,F
163,Manhattan,M
164,Queens,F
165,Brooklyn,M
166,Brooklyn,F
167,Manhattan,F
168,Brooklyn,M
169,Bronx,F
170,Brooklyn,F
171,Brooklyn,M
172,Manhattan,M
173,Manhattan,F
174,Manhattan,F
175,Bronx,M
176,Manhattan,M
177,Manhattan,F
178,Brooklyn,M
179,Brooklyn,F
180,Bronx,M
181,Manhattan,M
182,Bronx,M
183,Manhattan,F
184,Bronx,F
185,Queens,F
186,Staten Island,F
187,Manhattan,F
188,Brooklyn,M
189,Queens,F
190,Manhattan,M
191,Brooklyn,F
192,Queens,M
193,Manhattan,M
194,Manhattan,F
195,Queens,M
196,Manhattan,M
197,Manhattan,M
198,Manhattan,M
199,Manhattan,F
200,Brooklyn,M
201,Manhattan,F
202,Manhattan,F
203,Manhattan,M
204,Manhattan,M
205,Queens,M
206,Manhattan,F
207,Queens,F
208,Queens,M
209,Staten Island,M
210,Manhattan,M
211,Manhattan,M
212,Manhattan,F
213,Manhattan,M
214,Manhattan,F
215,Staten Island,M
216,Staten Island,M
217,Manhattan,F
218,Manhattan,M
219,Queens,M
220,Queens,M
221,Brooklyn,F
222,Manhattan,M
223,Brooklyn,F
224,Bronx,F
225,Queens,F
226,Bronx,F
227,Bronx,M
228,Manhattan,M
229,Manhattan,M
230,Manhattan,M
