UID,Borough,Name
0,Brooklyn,SHADOW 
1,Brooklyn,ROCCO
2,Bronx,LUIGI
3,Brooklyn,PETUNIA
4,Bronx,ROMEO
5,Brooklyn,BRANDY 
6,Manhattan,SAM
7,Staten Island,MAY 
8,Brooklyn,RUBY
9,Bronx,LEO
10,Manhattan,SOPHIE
11,Queens,ROSITA 
12,Queens,KC
13,Bronx,CODY 
14,Queens,FRANK
15,Queens,MONA
16,Bronx,LADY 
17,Bronx,BAILEY 
18,Bronx,ANGEL
19,Bronx,ZACK
20,Bronx,SARA 
21,Brooklyn,BLUE 
22,Bronx,POGI
23,Queens,MAX 
24,Bronx,SHEA
25,Bronx,MEEZY
26,Brooklyn,ROCCO
27,Manhattan,ERNIE 
28,Queens,MILO
29,Queens,DALLAS
30,Manhattan,RICARDO
31,Bronx,FINN
32,Brooklyn,RUFUS 
33,Queens,BET
34,Queens,LEO
35,Queens,SID
36,Queens,MAX
37,Manhattan,BEAU
38,Bronx,BEAR
39,Bronx,SUNSHINE 
40,Brooklyn,BOY
41,Brooklyn,MEL 
42,Bronx,TUX 
43,Queens,ROSE
44,Brooklyn,NINA 
45,Queens,SACHI
46,Queens,NIKO
47,Manhattan,GOGO
48,Bronx,KAI
49,Bronx,MAX 
50,Queens,CUPIA
51,Manhattan,MITTENS
52,Manhattan,OLIVER 
53,Manhattan,SALLY
54,Brooklyn,FENDI 
55,Queens,MAGGIE
56,Brooklyn,GULL 
57,Brooklyn,ZEUS
58,Queens,DU 
59,Brooklyn,KATIE
60,Queens,SEBASTIAN
61,Bronx,ROSCOE
62,Brooklyn,BELLA
63,Queens,RUBY 
64,Manhattan,FINIAN
65,Queens,ROCCO
67,Bronx,DINO
68,Bronx,MARKO
69,Brooklyn,JUICY
70,Queens,GIZMO 
71,Brooklyn,SHIBBY
72,Brooklyn,ROSIE
73,Manhattan,STELLA
74,Brooklyn,LUNA
75,Queens,PRINCE 
76,Brooklyn,SQUIRT
77,Queens,ROCKY
78,Staten Island,SATCH
79,Manhattan,COOKIE
80,Manhattan,LEGION
81,Queens,JUNO
82,Bronx,GIGI
83,Bronx,MARK
84,Brooklyn,BELLA 
85,Bronx,CUJO
86,Brooklyn,MARCELLO
87,Queens,HOGAN
88,Bronx,MIO 
89,Brooklyn,MONDAY 
90,Queens,JAX
91,Brooklyn,BELLA
93,Manhattan,BELLA
94,Manhattan,SPARKY
95,Queens,MAX
96,Staten Island,ROLEX
97,Queens,SIMON
98,Brooklyn,LULA
99,Bronx,ONYX 
100,Queens,POLIZZI
101,Queens,ZOE
102,Manhattan,BRANDY
103,Queens,PRISCILLA 
104,Brooklyn,JERRY
105,Bronx,TUFFY
106,Bronx,SANDY 
107,Queens,RUPERT
108,Queens,HALEY 
109,Manhattan,SADIE 
110,Manhattan,LUNA 
111,Queens,AUGIE
112,Bronx,UGO
113,Queens,VEGAS
114,Manhattan,KISS
115,Queens,BIAH 
116,Brooklyn,HANK
117,Bronx,ROXY
118,Bronx,BLACKIE 
119,Manhattan,YOFFI
120,Queens,R.A.
121,Queens,LETTY 
122,Manhattan,FRANKLIN
123,Brooklyn,ROXY
