borough,name,count
Manhattan,CHARLIE,292
Manhattan,LUCY,288
Manhattan,LOLA,275
Queens,MAX,260
Manhattan,BELLA,255
Brooklyn,MAX,252
Manhattan,MAX,244
Brooklyn,BELLA,238
Queens,BELLA,229
Manhattan,COCO,194
Manhattan,OLIVER,193
Brooklyn,CHARLIE,191
Manhattan,DAISY,185
Queens,ROCKY,183
Queens,COCO,177
Manhattan,COOPER,167
Manhattan,SOPHIE,167
Manhattan,TEDDY,166
Manhattan,BUDDY,165
Brooklyn,LOLA,164
Staten Island,BELLA,160
Manhattan,BAILEY,159
Queens,LUCKY,156
Manhattan,STELLA,155
Manhattan,LUNA,154
Brooklyn,ROCKY,153
Brooklyn,LUCKY,148
Manhattan,LILY,145
Queens,CHARLIE,144
Brooklyn,LUCY,143
Manhattan,MOLLY,139
Queens,BUDDY,138
Bronx,MAX,138
Manhattan,JACK,136
Manhattan,LEO,131
Manhattan,TOBY,128
Manhattan,PENNY,128
Manhattan,MAGGIE,127
Bronx,BELLA,126
Manhattan,OSCAR,125
Brooklyn,COCO,125
Manhattan,CHLOE,125
Manhattan,MILO,124
Brooklyn,PRINCESS,123
Manhattan,ROCKY,122
Brooklyn,CHLOE,119
Manhattan,LULU,119
Brooklyn,DAISY,118
Brooklyn,BUDDY,117
Manhattan,RILEY,116
Queens,LOLA,115
Manhattan,HENRY,114
Brooklyn,LUNA,114
Queens,PRINCESS,111
Manhattan,LUCKY,109
Bronx,ROCKY,109
Queens,DAISY,108
Staten Island,MAX,106
Manhattan,RUBY,104
Staten Island,ROCKY,100
Queens,MOLLY,100
Manhattan,SADIE,99
Manhattan,CHARLIE ,98
Queens,LUNA,98
Manhattan,ZOE,97
Queens,TOBY,97
Queens,COOKIE,97
Bronx,PRINCESS,94
Manhattan,ROSIE,94
Brooklyn,PENNY,94
Brooklyn,MILO,92
Manhattan,GRACIE,92
Bronx,LUCKY,91
Queens,BELLA ,91
Manhattan,WINSTON,90
Manhattan,SCOUT,89
Brooklyn,TEDDY,88
Brooklyn,TOBY,88
Manhattan,BEAR,85
Queens,COCO ,84
Brooklyn,PRINCE,84
Brooklyn,BELLA ,84
Queens,BAILEY,84
Brooklyn,GINGER,84
Brooklyn,OREO,83
Manhattan,HUDSON,83
Bronx,COCO,82
Manhattan,GINGER,81
Manhattan,SAMMY,81
Queens,LUCY,81
Brooklyn,MOLLY,80
Manhattan,COCO ,80
Staten Island,BUDDY,80
Staten Island,BAILEY,78
Manhattan,MIA,78
Manhattan,TUCKER,78
Brooklyn,BAILEY,78
Brooklyn,BROOKLYN,78
Queens,TEDDY,78
Queens,CHLOE,77
Queens,MILO,76
Manhattan,GUS,75
Manhattan,BRUNO,75
Queens,JACK,74
Bronx,LOLA,74
Manhattan,JASPER,74
Queens,MAX ,74
Manhattan,PEPPER,74
Brooklyn,MAGGIE,74
Manhattan,GIZMO,73
Brooklyn,JACK,73
Manhattan,LOLA ,71
Manhattan,PRINCESS,71
Brooklyn,RUBY,71
Manhattan,OLIVE,71
Manhattan,LUCY ,70
Manhattan,CODY,70
Manhattan,DUKE,70
Queens,LILY,70
Manhattan,GEORGE,69
Manhattan,SASHA,69
Manhattan,ROCCO,68
Manhattan,MAX ,68
Manhattan,ELLA,68
Manhattan,BELLA ,68
Brooklyn,STELLA,68
Queens,MIA,67
Manhattan,JACKSON,67
Brooklyn,COOKIE,67
Manhattan,BAXTER,67
Bronx,CHARLIE,67
Manhattan,ELLIE,66
Manhattan,DEXTER,66
Brooklyn,LEO,66
Manhattan,BUSTER,66
Staten Island,MOLLY,65
Manhattan,ZOEY,65
Brooklyn,ROXY,65
Brooklyn,MAX ,65
Manhattan,COOKIE,64
Manhattan,EMMA,64
Queens,OREO,64
Brooklyn,PEPPER,64
Bronx,TOBY,64
Staten Island,COCO,63
Manhattan,HARRY,63
Queens,RILEY,63
Brooklyn,SHADOW,63
Manhattan,LOUIE,63
Brooklyn,GIZMO,63
Brooklyn,LULU,62
Brooklyn,COOPER,61
Queens,LULU,61
Manhattan,BENTLEY,61
Queens,GIZMO,61
Brooklyn,ZEUS,60
Queens,SOPHIE,60
Brooklyn,BLUE,60
Queens,BRUNO,60
Brooklyn,LILY,60
Manhattan,PIPER,59
Bronx,BUDDY,59
Manhattan,DAISY ,59
Brooklyn,OSCAR,59
Queens,PRINCE,58
Manhattan,ROXY,58
Brooklyn,BEAR,58
Bronx,OREO,58
Manhattan,MURPHY,57
Brooklyn,COCO ,57
Queens,SHADOW,57
Brooklyn,OLIVER,56
Manhattan,JAKE,56
Staten Island,CHARLIE,56
Manhattan,BENNY,56
Manhattan,SHADOW,55
Queens,PENNY,55
Staten Island,LOLA,55
Queens,SASHA,55
Manhattan,ROMEO,55
Manhattan,OREO,55
Queens,ROCKY ,55
Bronx,BELLA ,55
Bronx,GIZMO,55
Manhattan,MR. ,55
Brooklyn,UNKOWN,55
Brooklyn,SCOUT,54
Manhattan,ANNIE,54
Manhattan,FRANKIE,54
Manhattan,JOEY,54
Brooklyn,ZOEY,54
Manhattan,LITTLE ,53
Queens,CHARLIE ,53
Brooklyn,RILEY,53
Manhattan,PHOEBE,53
Queens,BUDDY ,53
Brooklyn,ZOE,53
Manhattan,MADISON,53
Queens,ROXY,53
Manhattan,MARLEY,53
Queens,BEAR,53
Manhattan,SAM,53
Bronx,LUNA,53
Staten Island,BELLA ,53
Staten Island,DAISY,53
Manhattan,LADY ,52
Brooklyn,LOLA ,52
Brooklyn,SASHA,52
Manhattan,OTIS,52
Queens,LADY,52
Manhattan,OLLIE,52
Manhattan,NALA,51
Queens,OLIVER,51
Queens,JAKE,51
Manhattan,LAYLA,50
Manhattan,LILLY,50
Queens,REX,50
Manhattan,BLUE,50
Queens,COOPER,50
Queens,ROSIE,50
Brooklyn,ROSIE,50
Queens,SIMBA,50
Brooklyn,SOPHIE,50
Queens,LUCKY ,50
Brooklyn,MIA,50
Brooklyn,FRANKIE,50
Brooklyn,DEXTER,50
Brooklyn,HENRY,50
Staten Island,CHLOE,49
Brooklyn,BENJI,49
Bronx,CHLOE,49
Brooklyn,BABY,49
Brooklyn,SADIE,49
Queens,SAMMY,49
Brooklyn,DAISY ,48
Brooklyn,LOUIE,48
Queens,SPARKY,48
Brooklyn,SPARKY,48
Manhattan,MAYA,48
Manhattan,LEXI,48
Brooklyn,LUCKY ,48
Queens,BUSTER,48
Manhattan,PARKER,48
Manhattan,HARLEY,48
Queens,CODY,48
Bronx,MIA,48
Manhattan,REX,47
Queens,BENTLEY,47
Staten Island,LUCKY,47
Brooklyn,BRUNO,47
Manhattan,BROOKLYN,47
Manhattan,JACK ,47
Manhattan,MADDIE,47
Queens,GINGER,47
Brooklyn,JAKE,47
Queens,BROWNIE,47
Brooklyn,OLIVE,47
Manhattan,LADY,47
Queens,DAISY ,47
Queens,NOT ,46
Brooklyn,BENTLEY,46
Brooklyn,BABY ,46
Queens,LEO,46
Manhattan,ABBY,46
Manhattan,RUFUS,45
Brooklyn,LUCY ,45
Manhattan,REMY,45
Bronx,PRINCE,45
Manhattan,PEANUT,45
Manhattan,OTTO,45
Brooklyn,ROCKY ,45
Bronx,PRINCESS ,45
Staten Island,MIA,45
Queens,BLUE,45
Manhattan,CHESTER,44
Brooklyn,BUSTER,44
Brooklyn,KING,44
Manhattan,ZIGGY,44
Brooklyn,CHARLIE ,44
Queens,DEXTER,44
Brooklyn,EMMA,44
Bronx,ROCKY ,44
Staten Island,TEDDY,44
Brooklyn,MISSY,44
Staten Island,LUNA,44
Brooklyn,SAMMY,44
Queens,DUKE,44
Queens,JACK ,43
Manhattan,ZEUS,43
Manhattan,WINNIE,43
Queens,BENJI,43
Brooklyn,HAZEL,43
Bronx,COCO ,43
Manhattan,PENELOPE,43
Queens,ROCCO,43
Queens,ZOE,43
Queens,ZEUS,43
Manhattan,HAZEL,43
Queens,SANDY,42
Staten Island,LUCY,42
Manhattan,LULU ,42
Queens,SNOOPY,42
Bronx,DAISY,42
Manhattan,GIGI,42
Manhattan,MAGGIE ,42
Manhattan,RUBY ,42
Brooklyn,NAME,42
Manhattan,JAX,42
Brooklyn,REX,42
Staten Island,CODY,41
Manhattan,CHLOE ,41
Staten Island,ZOEY,41
Brooklyn,JACKSON,41
Queens,MAGGIE,41
Queens,ZOEY,41
Brooklyn,CODY,41
Queens,SAM,41
Staten Island,JAKE,41
Queens,PEPPER,41
Manhattan,ANGEL,41
Manhattan,SIMBA,40
Staten Island,BUSTER,40
Queens,LOUIE,40
Brooklyn,DIAMOND,40
Brooklyn,ANGEL,40
Brooklyn,SANDY,40
Brooklyn,CHLOE ,40
Brooklyn,PEANUT,40
Manhattan,IZZY,40
Queens,JAX,40
Manhattan,ARCHIE,40
Bronx,TEDDY,40
Brooklyn,LADY,40
Manhattan,LILY ,40
Queens,STELLA,40
Brooklyn,BROWNIE,40
Manhattan,MICKEY,40
Brooklyn,JAX,40
Queens,MICKEY,40
Bronx,MAX ,40
Manhattan,HUNTER,39
Queens,TEDDY ,39
Manhattan,ROSIE ,39
Brooklyn,PRINCESS ,39
Staten Island,BUDDY ,39
Brooklyn,RUSTY,39
Queens,BAILEY ,39
Manhattan,OLIVER ,39
Manhattan,BAILEY ,39
Brooklyn,ROCCO,39
Staten Island,SHADOW,39
Staten Island,ROXY,39
Manhattan,SANDY,38
Manhattan,BUDDY ,38
Brooklyn,GRACIE,38
Brooklyn,OLLIE,38
Bronx,SHADOW,38
Manhattan,TYSON,38
Queens,PRINCESS ,38
Brooklyn,OTIS,38
Staten Island,ROCKY ,38
Manhattan,BENJI,38
Manhattan,WILLOW,38
Brooklyn,LADY ,38
Staten Island,TOBY,38
Staten Island,MAX ,38
Manhattan,TEDDY ,38
Manhattan,FINN,38
Queens,RUBY,38
Brooklyn,LAYLA,38
Queens,TOBY ,37
Bronx,BROWNIE,37
Manhattan,MINNIE,37
Manhattan,PRINCE,37
Queens,BABY,37
Bronx,DIAMOND,37
Brooklyn,MICKEY,37
Brooklyn,PRINCE ,37
Brooklyn,SNOOPY,37
Manhattan,SPARKY,37
Staten Island,COCO ,37
Staten Island,JACK,37
Brooklyn,DUKE,36
Manhattan,MIMI,36
Manhattan,MILLIE,36
Manhattan,BANDIT,36
Manhattan,STELLA ,36
Queens,LADY ,36
