AnimalGender,Borough
M,Brooklyn
M,Brooklyn
M,Bronx
F,Brooklyn
M,Bronx
M,Brooklyn
M,Manhattan
F,Staten Island
F,Brooklyn
M,Bronx
F,Manhattan
F,Queens
F,Queens
M,Bronx
M,Queens
F,Queens
F,Bronx
M,Bronx
M,Bronx
M,Bronx
F,Bronx
M,Brooklyn
F,Bronx
M,Queens
F,Bronx
M,Bronx
M,Brooklyn
M,Manhattan
M,Queens
F,Queens
M,Manhattan
M,Bronx
M,Brooklyn
F,Queens
M,Queens
M,Queens
M,Queens
M,Manhattan
M,Bronx
F,Bronx
F,Brooklyn
M,Brooklyn
M,Bronx
F,Queens
F,Brooklyn
F,Queens
M,Queens
F,Manhattan
M,Bronx
M,Bronx
M,Queens
F,Manhattan
M,Manhattan
F,Manhattan
F,Brooklyn
F,Queens
F,Brooklyn
M,Brooklyn
M,Queens
F,Brooklyn
M,Queens
M,Bronx
F,Brooklyn
F,Queens
M,Manhattan
M,Queens
F,Manhattan
M,Bronx
M,Bronx
F,Brooklyn
M,Queens
F,Brooklyn
F,Brooklyn
F,Manhattan
F,Brooklyn
M,Queens
M,Brooklyn
M,Queens
F,Staten Island
F,Manhattan
F,Manhattan
F,Queens
F,Bronx
M,Bronx
F,Brooklyn
M,Bronx
M,Brooklyn
M,Queens
M,Bronx
M,Brooklyn
M,Queens
F,Brooklyn
F,Brooklyn
F,Manhattan
M,Manhattan
M,Queens
M,Staten Island
M,Queens
F,Brooklyn
M,Bronx
M,Queens
F,Queens
M,Manhattan
F,Queens
M,Brooklyn
M,Bronx
F,Bronx
M,Queens
F,Queens
F,Manhattan
F,Manhattan
M,Queens
M,Bronx
M,Queens
F,Manhattan
F,Queens
M,Brooklyn
F,Bronx
M,Bronx
F,Manhattan
F,Queens
F,Queens
M,Manhattan
F,Brooklyn
F,Queens
M,Queens
F,Bronx
M,Manhattan
F,Bronx
M,Brooklyn
F,Manhattan
F,Manhattan
M,Manhattan
F,Manhattan
M,Manhattan
M,Manhattan
F,Manhattan
M,Bronx
M,Bronx
F,Brooklyn
F,Manhattan
M,Staten Island
F,Manhattan
F,Manhattan
M,Manhattan
M,Manhattan
F,Manhattan
M,Manhattan
F,Staten Island
F,Brooklyn
F,Manhattan
F,Manhattan
F,Brooklyn
F,Manhattan
M,Brooklyn
M,Brooklyn
F,Brooklyn
M,Brooklyn
M,Brooklyn
F,Brooklyn
M,Manhattan
M,Brooklyn
F,Bronx
M,Manhattan
F,Queens
M,Brooklyn
F,Brooklyn
F,Manhattan
M,Brooklyn
F,Bronx
F,Brooklyn
M,Brooklyn
M,Manhattan
F,Manhattan
F,Manhattan
M,Bronx
M,Manhattan
F,Manhattan
M,Brooklyn
F,Brooklyn
M,Bronx
M,Manhattan
M,Bronx
F,Manhattan
F,Bronx
F,Queens
F,Staten Island
F,Manhattan
M,Brooklyn
F,Queens
M,Manhattan
F,Brooklyn
M,Queens
M,Manhattan
F,Manhattan
M,Queens
M,Manhattan
M,Manhattan
M,Manhattan
F,Manhattan
M,Brooklyn
F,Manhattan
F,Manhattan
M,Manhattan
M,Manhattan
M,Queens
F,Manhattan
F,Queens
M,Queens
M,Staten Island
M,Manhattan
M,Manhattan
F,Manhattan
M,Manhattan
F,Manhattan
M,Staten Island
M,Staten Island
