borough,breedname,count
Bronx,Unknown,1508
Bronx,Yorkshire Terrier,1183
Bronx,Shih Tzu,1083
Bronx,Chihuahua,845
Bronx,American Pit Bull Terrier/Pit Bull,718
Bronx,American Pit Bull Mix / Pit Bull Mix,533
Bronx,Maltese,511
Bronx,Labrador Retriever,257
Bronx,Pomeranian,239
Bronx,German Shepherd Dog,226
Bronx,Jack Russell Terrier,188
Bronx,Labrador Retriever Crossbreed,187
Bronx,Shih Tzu Crossbreed,182
Bronx,Beagle,176
Bronx,Siberian Husky,153
Bronx,Pug,150
Bronx,Chihuahua Crossbreed,141
Bronx,Cocker Spaniel,139
Bronx,Yorkshire Terrier Crossbreed,137
Bronx,"Poodle, Miniature",130
Bronx,"Poodle, Toy",121
Bronx,Rottweiler,113
Bronx,Miniature Pinscher,112
Bronx,German Shepherd Crossbreed,111
Bronx,Boxer,110
Bronx,American Staffordshire Terrier ,109
Bronx,Poodle,105
Bronx,Shiba Inu,104
Bronx,Boston Terrier,102
Bronx,Bichon Frise,100
Bronx,"Poodle, Standard",96
Bronx,Lhasa Apso,89
Bronx,Golden Retriever,89
Bronx,"Bull Dog, English",88
Bronx,Havanese,87
Bronx,Maltese Crossbreed,86
Bronx,"Schnauzer, Miniature",85
Bronx,Poodle Crossbreed,80
Bronx,Beagle Crossbreed,77
Bronx,Dachshund Smooth Coat,71
Bronx,Pekingese,70
Bronx,Puggle,66
Bronx,Terrier mix,48
Bronx,Staffordshire Bull Terrier,48
Bronx,American Bully,46
Bronx,Chow Chow,42
Bronx,Dachshund,40
Bronx,Cavalier King Charles Spaniel,39
Bronx,Morkie,33
Bronx,Cairn Terrier,33
Bronx,Maltipoo,33
Bronx,West High White Terrier,31
Bronx,French Bulldog,31
Bronx,Doberman Pinscher,31
Bronx,"Bull Dog, French",31
Bronx,Wheaton Terrier,30
Bronx,Australian Shepherd,29
Bronx,Silky Terrier,29
Bronx,Bulldog,28
Bronx,Dachshund Smooth Coat Miniature,27
Bronx,American Eskimo dog,26
Bronx,Papillon,26
Bronx,Bull Terrier,26
Bronx,Shetland Sheepdog,25
Bronx,Labradoodle,24
Bronx,Miniature Schnauzer,24
Bronx,"Schnauzer, Standard",24
Bronx,"Shar-Pei, Chinese",23
Bronx,Dachshund Crossbreed,21
Bronx,Cane Corso,20
Bronx,Pomeranian Crossbreed,20
Bronx,"Collie, Border",19
Bronx,Rat Terrier,19
Bronx,Akita,18
Bronx,Terrier Crossbreed,16
Bronx,Border Collie,15
Bronx,Australian Cattledog,15
Bronx,"Welsh Corgi, Pembroke",15
Bronx,Belgian Malinois,14
Bronx,Rhodesian Ridgeback,13
Bronx,"Dachshund, Long Haired",13
Bronx,Border Terrier,13
Bronx,Scottish Terrier,12
Bronx,Basenji,12
Bronx,Bassett Hound,12
Bronx,Pointer,12
Bronx,Bernese Mountain Dog,12
Bronx,"Dachshund, Long Haired Miniature",11
Bronx,Schnauzer Crossbreed,11
Bronx,Cotton De Tulear,10
Bronx,"Mastiff, Bull",10
Bronx,Goldendoodle,10
Bronx,Italian Greyhound,9
Bronx,Brussels Griffon,9
Bronx,West Highland White Terrier,9
Bronx,Australian Cattle Dog,9
Bronx,Great Dane,9
Bronx,Pembroke Welsh Corgi,9
Bronx,Japanese Chin,9
Bronx,Collie Crossbreed,8
Bronx,Parson Russell Terrier,8
Bronx,Basset Hound,8
Bronx,Wire Fox Terrier,8
Bronx,Dalmatian,8
Bronx,Chinese Shar-Pei,7
Bronx,Tibetan Terrier,7
Bronx,Japanese Chin/Spaniel,6
Bronx,Akita Crossbreed,6
Bronx,Norfolk Terrier,6
Bronx,Tibetan Spaniel,6
Bronx,Perro de Presa Canario,5
Bronx,Weimaraner,5
Bronx,Dogo Argentino,5
Bronx,English Springer Spaniel,5
Bronx,Rottweiler Crossbreed,5
Bronx,"Collie, Smooth Coat",5
Bronx,Keeshond,5
Bronx,Brittany Spaniel,5
Bronx,Alaskan Malamute,5
Bronx,"Mastiff, Old English",5
Bronx,Dutch Shepherd,5
Bronx,Vizsla,5
Bronx,Samoyed,5
Bronx,Irish Wolfhound,4
Bronx,Anatolian Shepherd Dog,4
Bronx,Catahoula Leopard Dog,4
Bronx,"Mastiff, Neapolitan",4
Bronx,"Dachshund, Wirehaired",4
Bronx,"Coonhound, Black and Tan",4
Bronx,"Collie, Rough Coat",4
Bronx,Mastiff,4
Bronx,Greyhound,4
Bronx,"Coonhound, Blue Tick",4
Bronx,Bluetick Coonhound,4
Bronx,Black and Tan Coonhound,4
Bronx,"Bull Dog, American",4
Bronx,German Shorthaired Pointer,3
Bronx,Irish Terrier,3
Bronx,Collie,3
Bronx,Australian Terrier,3
Bronx,Norwich Terrier,3
Bronx,Australian Silky Terrier,3
Bronx,"Pointer, German Shorthaired",3
Bronx,Siberian Husky Crossbreed,3
Bronx,Chesapeake Bay Retriever,3
Bronx,Belgian Sheepdog,3
Bronx,Tibetan Mastiff,3
Bronx,Dogue de Bordeaux,3
Bronx,Coton de Tulear,3
Bronx,Afghan Hound,3
Bronx,Redbone Coonhound,3
Bronx,"Schnauzer, Miniature Crossbreed",3
Bronx,German Wirehaired Pointer,3
Bronx,Chinese Crested,3
Bronx,Saint Bernard,3
Bronx,Whippet,2
Bronx,Finnish Spitz,2
Bronx,Soft Coated Wheaten Terrier,2
Bronx,Pembroke Welsh Corgi Crossbreed,2
Bronx,Norwegian Elkhound,2
Bronx,Boxer Crossbreed,2
Bronx,Cocker Spaniel Crossbreed,2
Bronx,Bloodhound,2
Bronx,English Cocker Spaniel,2
Bronx,Canaan Dog,2
Bronx,Portuguese Water Dog,2
Bronx,Affenpinscher,2
Bronx,Welsh Springer Spaniel,2
Bronx,Australian Kelpie,2
Bronx,Bullmastiff,2
Bronx,Clumber Spaniel,2
Bronx,"Jindo Dog, Korea",2
Bronx,Schipperkee,2
Bronx,"Schnauzer, Giant",2
Bronx,Newfoundland,2
Bronx,Skye Terrier,2
Bronx,Cardigan Welsh Corgi,2
Bronx,Miniature American Shepherd,2
Bronx,Toy Fox Terrier,2
Bronx,Kuvasz,2
Bronx,"Mastiff, French (Dogue de Bordeaux)",2
Bronx,German Pinscher,2
Bronx,Glen of Imaal Terrier,2
Bronx,Manchester Terrier,1
Bronx,Border Collie Crossbreed,1
Bronx,Hovawart,1
Bronx,Boerboel,1
Bronx,Pug Crossbreed,1
Bronx,Great Pyrenees,1
Bronx,Field Spaniel,1
Bronx,Plott,1
Bronx,"Collie, Bearded ",1
Bronx,Cesky Terrier,1
Bronx,"Mastiff, Tibetan",1
Bronx,German Spitz,1
Bronx,Treeing Walker Coonhound,1
Bronx,Bedlington Terrier,1
Bronx,Greater Swiss Mountain Dog,1
Bronx,Rat Terrier Crossbreed,1
Bronx,Gordon Setter,1
Bronx,Mudi,1
Bronx,American English Coonhound,1
Bronx,Ibizan Hound,1
Bronx,Cirneco dell,1
Bronx,Russell Terrier,1
Bronx,Polish Hound,1
Bronx,"Coonhound, Treeing Walker",1
Bronx,American Foxhound,1
Bronx,Bearded Collie,1
Bronx,Miniature Bull Terrier,1
Bronx,Airedale Terrier,1
Bronx,Thai Ridgeback,1
Bronx,Portuguese Podengo Pequeno,1
Brooklyn,Unknown,4017
Brooklyn,Yorkshire Terrier,1873
Brooklyn,Shih Tzu,1799
Brooklyn,Chihuahua,1420
Brooklyn,American Pit Bull Mix / Pit Bull Mix,1040
Brooklyn,American Pit Bull Terrier/Pit Bull,946
Brooklyn,Labrador Retriever,933
Brooklyn,Maltese,910
Brooklyn,Labrador Retriever Crossbreed,778
Brooklyn,Pomeranian,528
Brooklyn,Jack Russell Terrier,516
Brooklyn,Beagle,483
Brooklyn,German Shepherd Crossbreed,459
Brooklyn,German Shepherd Dog,443
Brooklyn,Cocker Spaniel,415
Brooklyn,Pug,394
Brooklyn,Golden Retriever,352
Brooklyn,Boston Terrier,310
Brooklyn,Shiba Inu,298
Brooklyn,Siberian Husky,290
Brooklyn,Boxer,282
Brooklyn,Chihuahua Crossbreed,273
Brooklyn,"Poodle, Miniature",269
Brooklyn,Havanese,263
Brooklyn,Beagle Crossbreed,261
Brooklyn,Bichon Frise,251
Brooklyn,Shih Tzu Crossbreed,248
Brooklyn,Cavalier King Charles Spaniel,242
Brooklyn,"Schnauzer, Miniature",239
Brooklyn,Australian Shepherd,228
Brooklyn,"Poodle, Toy",227
Brooklyn,Terrier mix,226
Brooklyn,American Staffordshire Terrier ,226
Brooklyn,"Bull Dog, French",221
Brooklyn,French Bulldog,209
Brooklyn,"Poodle, Standard",206
Brooklyn,Miniature Pinscher,205
Brooklyn,"Bull Dog, English",204
Brooklyn,Dachshund Smooth Coat,182
Brooklyn,Puggle,175
Brooklyn,Rottweiler,173
Brooklyn,Lhasa Apso,168
Brooklyn,Poodle,158
Brooklyn,Poodle Crossbreed,157
Brooklyn,Dachshund,157
Brooklyn,Maltese Crossbreed,154
Brooklyn,Yorkshire Terrier Crossbreed,152
Brooklyn,Labradoodle,139
Brooklyn,Cairn Terrier,128
Brooklyn,Pekingese,120
Brooklyn,Australian Cattledog,110
Brooklyn,Border Collie,109
Brooklyn,Dachshund Smooth Coat Miniature,103
Brooklyn,West High White Terrier,92
Brooklyn,Rat Terrier,92
Brooklyn,Miniature Schnauzer,90
Brooklyn,Terrier Crossbreed,89
Brooklyn,Brussels Griffon,87
Brooklyn,Wheaton Terrier,87
Brooklyn,Staffordshire Bull Terrier,82
Brooklyn,Cane Corso,81
Brooklyn,Papillon,77
