Borough,AnimalBirthMonth
Brooklyn,1
Brooklyn,10
Bronx,9
Brooklyn,8
Bronx,10
Brooklyn,1
Manhattan,5
Staten Island,5
Brooklyn,4
Bronx,1
Manhattan,8
Queens,4
Queens,7
Bronx,12
Queens,4
Queens,2
Bronx,10
Bronx,4
Bronx,11
Bronx,4
Bronx,7
Brooklyn,1
Bronx,7
Queens,4
Bronx,1
Bronx,8
Brooklyn,1
Manhattan,1
Queens,6
Queens,5
Manhattan,7
Bronx,5
Brooklyn,6
Queens,4
Queens,9
Queens,8
Queens,7
Manhattan,1
Bronx,7
Bronx,1
Brooklyn,9
Brooklyn,12
Bronx,1
Queens,10
Brooklyn,1
Queens,10
Queens,10
Manhattan,4
Bronx,9
Bronx,1
Queens,1
Manhattan,12
Manhattan,3
Manhattan,9
Brooklyn,9
Queens,11
Brooklyn,9
Brooklyn,1
Queens,2
Brooklyn,3
Queens,8
Bronx,4
Brooklyn,11
Queens,4
Manhattan,5
Queens,12
Bronx,11
Bronx,5
Brooklyn,11
Queens,1
Brooklyn,2
Brooklyn,2
Manhattan,9
Brooklyn,11
Queens,4
Brooklyn,2
Queens,9
Staten Island,9
Manhattan,11
Manhattan,1
Queens,5
Bronx,12
Bronx,1
Brooklyn,9
Bronx,1
Brooklyn,7
Queens,6
Bronx,1
Brooklyn,4
Queens,1
Brooklyn,2
Manhattan,12
Manhattan,1
Queens,4
Staten Island,7
Queens,4
Brooklyn,9
Bronx,4
Queens,5
Queens,1
Manhattan,2
Queens,1
Brooklyn,5
Bronx,7
Bronx,4
Queens,3
Queens,1
Manhattan,5
Manhattan,12
Queens,6
Bronx,1
Queens,1
Manhattan,7
Queens,1
Brooklyn,2
Bronx,12
Bronx,1
Manhattan,1
Queens,5
Queens,6
Manhattan,10
Brooklyn,10
Queens,12
Queens,7
Bronx,8
Bronx,1
Brooklyn,7
Manhattan,4
Manhattan,6
Manhattan,1
Manhattan,7
Manhattan,4
Manhattan,1
Manhattan,6
Bronx,9
Bronx,1
Brooklyn,5
Manhattan,6
Staten Island,10
Manhattan,7
Manhattan,8
Manhattan,1
Manhattan,7
Manhattan,1
Manhattan,12
Staten Island,9
Brooklyn,4
Manhattan,12
Manhattan,3
Brooklyn,3
Manhattan,4
Brooklyn,7
Brooklyn,12
Brooklyn,9
Brooklyn,7
Brooklyn,7
Brooklyn,9
Manhattan,10
Brooklyn,8
