name,count
BELLA,1008
MAX,1000
CHARLIE,750
LOLA,683
ROCKY,667
COCO,641
LUCY,580
BUDDY,559
LUCKY,551
DAISY,506
LUNA,463
BAILEY,429
PRINCESS,428
CHLOE,419
TEDDY,416
TOBY,415
MOLLY,411
JACK,351
BELLA ,351
MILO,349
SOPHIE,341
OLIVER,333
PENNY,333
COOPER,319
LILY,314
COCO ,301
STELLA,299
LEO,293
MAGGIE,292
OREO,291
MIA,288
LULU,286
MAX ,285
GIZMO,281
COOKIE,279
RILEY,276
GINGER,264
RUBY,259
BEAR,252
SHADOW,252
ROXY,248
ROSIE,247
OSCAR,240
PRINCE,238
CHARLIE ,234
SASHA,233
BRUNO,227
ZOE,225
SADIE,223
CODY,223
ZOEY,219
PEPPER,217
BUSTER,213
SAMMY,212
ROCKY ,211
JAKE,207
HENRY,200
DEXTER,200
ROCCO,197
ZEUS,196
LADY,194
BLUE,193
DUKE,193
DAISY ,191
LOLA ,189
BUDDY ,187
LUCY ,185
BENTLEY,184
LOUIE,183
GRACIE,181
LUCKY ,180
PRINCESS ,179
REX,178
BROOKLYN,178
SPARKY,177
SCOUT,177
BENJI,171
BABY,170
LADY ,167
PEANUT,165
FRANKIE,162
BROWNIE,162
SNOOPY,161
EMMA,161
HARLEY,160
SANDY,159
JAX,159
MICKEY,157
WINSTON,157
ROMEO,155
TEDDY ,152
LAYLA,149
SAM,147
NALA,147
SIMBA,147
LEXI,146
JASPER,145
JACKSON,144
OLIVE,144
RUSTY,144
KING,143
JACK ,142
BAILEY ,142
TUCKER,142
HAZEL,141
ANGEL,140
BANDIT,139
ABBY,138
GEORGE,138
TYSON,138
GUS,137
BABY ,136
DIAMOND,135
CHLOE ,133
MARLEY,133
MURPHY,132
HONEY,130
HUDSON,129
MISSY,129
MINNIE,128
BENNY,128
MAYA,126
MAXIMUS,126
GIGI,126
CHESTER,126
HUNTER,124
MAGGIE ,124
BAXTER,122
PRINCE ,122
ELLIE,122
MADISON,121
SPIKE,120
LILLY,120
CHEWY,119
PEBBLES,115
TOBY ,115
OREO ,115
PRECIOUS,114
MR. ,114
MIA ,114
MIMI,113
ACE,113
JOEY,113
RUBY ,111
ZIGGY,111
HARRY,111
ELLA,110
REMY,109
ANNIE,109
FLUFFY,109
MOLLY ,107
KING ,106
OLLIE,106
DIESEL,105
OTIS,105
CASEY,104
ARCHIE,104
MOCHA,104
PHOEBE,104
APOLLO,102
LOKI,102
LUNA ,101
ROXIE,100
SMOKEY,100
MILO ,99
CODY ,98
CHICO,96
LITTLE ,96
OLIVER ,96
HOLLY,95
CHASE,95
LILY ,95
RUFUS,94
SASHA ,93
NENA,92
RUDY,91
DAKOTA,91
LULU ,91
BELLE,90
BISCUIT,90
PIPER,90
COOKIE ,89
BUSTER ,89
SUNNY,89
LEO ,89
NINA,88
SAMANTHA,87
SAMSON,87
PETEY,86
WINNIE,86
CHANCE,85
BOOMER,85
PENELOPE,85
GINGER ,84
WILLOW,83
HERSHEY,83
BRUCE,83
UNKOWN,82
THOR,82
SUGAR,81
HAPPY,81
HONEY ,81
GIZMO ,81
TRIXIE,81
MADDIE,81
PARKER,80
MILLIE,79
CASPER,78
COCOA,78
CHAMP,78
ELVIS,78
LUKE,78
PENNY ,78
SIR ,78
ROXY ,77
FIONA,77
COSMO,76
ROSIE ,76
SHEA,76
HERCULES,76
STELLA ,75
SANDY ,75
ZOEY ,75
BOBBY,75
MOCHI,75
SOPHIE ,75
OTTO,74
KOBE,74
JUNIOR,74
FOXY,74
RAMBO,74
BLUE ,73
FINN,73
SADIE ,72
ROSCOE,71
TIGER,71
SCOOBY,71
CASH,71
BLU,71
KIKI,70
SIMON,70
BRANDY,70
JAKE ,70
STORM,70
NIKO,70
BOSCO,69
SKY,69
YOGI,69
BONNIE,69
LUCAS,69
LOGAN,68
GUCCI,68
HENRY ,68
BEAU,68
SPANKY,68
MUFFIN,68
CHEWIE,67
MIKEY,67
MOOSE,67
IZZY,67
ZOE ,66
MIDNIGHT,66
WALLY,66
STAR,66
HUGO,66
MASON,66
RILEY ,66
SNOWBALL,65
NICO,65
MONTY,65
LUCA,65
ANGEL ,64
SONNY,64
JOJO,63
HANK,63
DELILAH,63
BRODY,63
ONYX,63
CINNAMON,62
MISS ,62
SEBASTIAN,62
SAMMY ,62
CALLIE,61
DIXIE,61
XENA,61
BRADY,60
LEXIE,60
KATIE,60
COOPER ,60
PEANUT ,60
NONE,59
AVA,59
WATSON,59
SHADOW ,59
OLIVIA,59
JASMINE,59
SCRAPPY,59
BARNEY,59
ATHENA,59
NIKKI,59
SAM ,59
BETTY,59
BOWIE,59
ISABELLA,58
DIAMOND ,58
OZZY,58
CHIP,58
RANGER,58
NAME,58
MABEL,58
AMBER,57
CHARLEY,57
TAZ,57
PEACHES,57
WALTER,57
JESSIE,57
ENZO,57
MISTY,57
TOMMY,57
OSCAR ,57
DUKE ,57
ROMEO ,56
SHEBA,56
SALLY,56
CASSIE,55
CHARLOTTE,55
JOSIE,55
BEAR ,55
SPENCER,55
SOPHIA,55
JACKIE,54
CHANEL,54
CLEO,54
REGGIE,54
APRIL,54
HEIDI,54
PATCHES,54
ALFIE,53
PEPPER ,53
DINO,53
PARIS,53
NOT ,53
BAMBI,53
WINSTON ,53
RUSTY ,53
LOUIS,52
CHELSEA,52
SNOW,52
ANDY,52
RICKY,52
CALI,52
BRUNO ,52
VIOLET,52
THEO,51
DIEGO,51
JUNO,51
MAXWELL,51
DANTE,51
PUMPKIN,51
DOLLY,50
STANLEY,50
PIPPA,50
SHELBY,50
BEBE,50
BRUTUS,49
MATILDA,49
PANDA,49
LACEY,49
CLYDE,49
DUSTY,49
TANK,49
MOMO,49
BUTTERCUP,48
LILLY ,48
TONY,48
BAM ,48
JESSE,48
WILLIE,48
SCOOTER,47
FLUFFY ,47
NEMO,47
JERRY,47
SASSY,47
HARVEY,47
BOBO,47
JOEY ,46
GIA,46
MADISON ,46
MISSY ,46
DUNCAN,46
ELI,46
MURRAY,46
EDDIE,46
TINY,46
POPPY,46
KOKO,46
GUINNESS,46
BEN,46
ALEX,45
SHAGGY,45
PACO,45
SNICKERS,45
BENJI ,45
DALLAS,45
BLACKIE,45
KHLOE,45
FRANKIE ,45
SUKI,45
MACHO,45
BERNIE,45
TACO,45
GRACE,44
MILES,44
WINTER,44
BILLY,44
SYDNEY,44
DYLAN,44
LOUIE ,44
SOFIE,44
KODA,44
DASH,44
BOO,44
HARPER,44
BUBBLES,43
NINA ,43
SOFIA,43
SKIPPY,43
HARLEY ,43
YOSHI,43
FRANK,43
GOLDIE,43
LAYLA ,43
BANDIT ,43
SUGAR ,43
BO,43
CANDY,43
JADE,42
FRED,42
BACI,42
BOO ,42
KONA,42
GEORGIA,42
MAXIMUS ,42
TIGGER,42
ACE ,42
EMMA ,42
OZZIE,42
PEARL,42
SUMMER,42
NAPOLEON,42
MUGSY,42
PRECIOUS ,42
JASPER ,41
BIANCA,41
ERNIE,41
SPARKY ,41
NOVA,41
ELLA ,41
ROCCO ,41
GRACIE ,41
TIFFANY,41
BLAZE,40
STEWIE,40
MACK,40
LILA,40
LEILA,40
CINDY,40
ZEUS ,40
CHOCOLATE,40
CUPCAKE,40
MIMI ,40
NOAH,40
MOOKIE,40
MINNIE ,40
TOTO,40
DUCHESS,40
CAESAR,40
DOLCE,40
PABLO,39
EVA,39
FRIDA,39
PETE,39
KANE,39
POLO,39
BENJAMIN,39
IVY,39
TINKERBELL,39
QUINCY,39
MILA,39
BUTTONS,39
BARKLEY,39
MAXX,39
ODIN,38
DOMINO,38
PEPE,38
NONAME,38
HARRY ,38
PEBBLES ,38
LINUS,38
BRUCE ,38
CASEY ,38
MELO,38
HANNAH,38
FREDDIE,38
SHILOH,38
PINKY,38
SCRUFFY,38
BUBBA,38
WILSON,38
MAC,37
GRIFFIN,37
HOPE,37
ROSE,37
HUNTER ,37
ROCKO,37
KELLY,37
ROCKET,37
YODA,37
MANDY,37
MIKA,37
TOOTSIE,37
MAJOR,37
SIMBA ,37
ELLIE ,37
ROXIE ,37
SKYE,37
ALICE,37
SNOWY,37
THEODORE,37
ZORRO,37
WHISKEY,36
NELLIE,36
GIGI ,36
MICKEY ,36
QUINN,36
SAMSON ,36
DIVA,36
JACKSON ,36
FRANKLIN,36
FRITZ,36
SCARLETT,36
MURPHY ,36
PERCY,36
AMY,36
TINY ,36
LEXI ,36
JAZZY,36
MOJO,36
DEXTER ,36
LILO,35
PIP,35
TINA,35
SCOUT ,35
TITAN,35
CLEMENTINE,35
BETTY ,35
MAXINE,35
REX ,35
ZELDA,35
JIMMY,35
JORDAN,35
RIPLEY,35
OPIE,35
FELIX,35
GEORGE ,35
BELLE ,35
BROWNIE ,34
EMILY,34
LINDA,34
MR ,34
RALPH,34
KUMA,34
PIXIE,34
TUCKER ,34
MYLO,34
GATSBY,34
TYLER,34
SUNSHINE,34
BODHI,34
TALLULAH,34
SNOOPY ,34
HAZEL ,33
CHESTER ,33
JETER,33
SUSIE,33
EINSTEIN,33
WILBUR,33
LUIGI,33
FOXY ,33
SOPHIA ,33
BUTCH,33
SAVANNAH,33
KIWI,33
TIGER ,33
CHASE ,33
SAMMIE,33
SPOT,33
DORA,33
CHEWBACCA,33
BROOKLYN ,33
KIRBY,32
TITO,32
DJANGO,32
ABIGAIL,32
RIO,32
FIFI,32
PIPPIN,32
ZEKE,32
RINGO,32
MAXWELL ,32
LONDON,32
MARLEY ,32
MARTY,32
CHOCO,32
PIPER ,32
MISTER ,32
GUCCI ,32
BENTLEY ,32
MOXIE,31
MONKEY,31
BIGGIE,31
BAXTER ,31
BINGO,31
BASIL,31
LEIA,31
REMY ,31
LIL ,31
LINCOLN,31
NALA ,31
