Tract,AvgHI2014,AvgHI2015,AvgHi2016,AverageHI
1,102825.00,99372.50,108892.00,103696.50
2,57469.00,57005.33,62204.00,58892.78
2.01,23036.00,20521.00,21102.00,21553.00
2.02,29418.00,29684.00,32411.00,30504.33
3,57500.00,59688.00,70078.00,62422.00
3.01,105509.00,101544.00,112361.00,106471.33
4,65673.00,64804.50,64466.50,64981.33
5.01,110625.00,110700.00,124205.00,115176.67
5.02,90375.00,91964.00,100805.00,94381.33
6,39662.33,36070.67,42532.33,39421.78
7,93999.25,96583.00,101790.50,97457.58
8,54391.33,56572.33,59853.33,56939.00
9,116051.67,107027.67,110237.33,111105.56
10,62194.00,61900.00,64821.00,62971.67
10.01,83259.00,73239.00,75192.00,77230.00
10.02,17972.00,17560.00,16464.00,17332.00
11,73725.00,76144.00,80090.50,76653.17
12,54954.50,52783.50,58237.00,55325.00
13,115926.00,117529.00,115125.50,116193.50
14,75048.00,61081.00,64296.00,66808.33
14.01,78300.00,76250.00,75556.00,76702.00
14.02,26648.00,24375.00,26971.00,25998.00
15,90993.00,90616.00,94946.00,92185.00
15.01,75769.00,81867.00,85426.00,81020.67
15.02,134435.00,133209.00,145387.00,137677.00
16,40553.67,41850.00,45771.33,42725.00
17,44750.00,42716.00,31250.00,39572.00
18,55755.33,62740.00,62771.67,60422.33
19,76599.00,77862.00,81190.00,78550.33
20,47520.00,43302.00,45330.75,45384.25
20.01,81576.00,84135.00,89792.00,85167.67
20.02,93393.00,87188.00,90598.00,90393.00
21,162053.00,170474.33,171322.33,167949.89
22,48517.50,47448.00,53184.50,49716.67
22.01,38235.00,34988.00,33700.00,35641.00
22.02,76250.00,68750.00,88099.00,77699.67
23,17236.50,16772.50,17314.00,17107.67
24,43737.00,41591.00,39377.00,41568.33
25,17081.00,16779.00,17619.33,17159.78
26,77933.00,73971.00,79438.00,77114.00
26.01,44118.00,43854.00,56420.00,48130.67
26.02,72575.00,70037.00,73056.00,71889.33
27,36326.50,41891.00,45086.00,41101.17
27.01,20159.00,20153.00,18409.00,19573.67
27.02,18416.00,17147.00,16000.00,17187.67
28,49099.33,45680.67,48601.33,47793.78
29,36256.50,30362.50,28748.50,31789.17
29.01,14872.00,17544.00,21226.00,17880.67
30,53787.00,55014.50,59736.50,56179.33
30.01,71641.00,62199.00,71591.00,68477.00
30.02,46641.00,50625.00,52479.00,49915.00
31,83549.50,86756.50,91270.25,87192.08
32,71588.50,70308.00,64002.00,68632.83
33,91072.40,100093.20,97530.40,96232.00
34,77167.33,70338.00,71196.00,72900.44
35,41351.00,44033.00,43758.00,43047.33
36,71860.67,73635.00,72196.00,72563.89
36.01,45532.00,44286.00,48990.00,46269.33
36.02,68359.00,81250.00,77778.00,75795.67
37,70333.00,116145.00,136958.50,102458.00
38,65325.25,60522.25,57953.50,61267.00
39,73087.60,73231.60,80234.00,75517.73
40,66432.00,63743.00,64123.50,64766.17
40.01,51670.50,57861.50,53158.00,54230.00
40.02,63750.00,54931.00,83466.00,67382.33
41,59923.00,63444.67,76546.00,66637.89
42,71094.33,73628.00,72079.00,72267.11
43,57047.25,55928.25,61213.00,58062.83
44,67345.33,70356.67,67436.00,68379.33
44.01,53000.00,53333.00,54583.00,53638.67
45,112379.00,116216.67,116512.33,115036.00
46,67426.50,79641.50,72396.00,73154.67
47,74275.50,74750.50,83649.75,77558.58
48,64932.00,68545.00,71339.50,68272.17
49,102647.50,107439.50,107955.50,106014.17
50,84117.00,88074.67,98638.00,90276.56
50.01,31250.00,27456.00,27283.00,28663.00
50.02,29338.00,28039.00,28010.00,28462.33
51,51107.67,50137.67,52353.33,51199.56
52,81417.33,79250.33,81286.00,80651.22
52.01,17129.00,29531.00,18906.00,21855.33
52.02,68750.00,68958.00,70375.00,69361.00
53,46712.67,48018.67,52087.33,48939.56
54,73472.00,69503.50,71605.75,71527.08
55,54779.00,58690.00,59620.00,57696.33
55.01,117679.00,134417.00,151234.00,134443.33
55.02,122500.00,138523.00,112768.00,124597.00
56,63095.00,66646.00,70212.50,66651.17
56.01,52761.00,53984.00,60927.00,55890.67
56.02,53167.00,60164.00,64479.00,59270.00
57,103258.00,104201.00,99894.50,102451.17
58,86503.67,93700.33,96748.67,92317.56
59,84765.50,82083.75,83836.00,83561.75
59.02,38244.00,38542.00,29908.00,35564.67
60,72859.00,70595.33,73374.00,72276.11
61,70625.67,72222.67,72477.67,71775.33
62,56700.00,51210.67,61878.67,56596.44
62.01,60320.00,62572.00,59631.00,60841.00
62.02,55783.00,55253.00,54545.00,55193.67
63,71722.00,75898.75,81531.75,76384.17
64,55264.00,60757.50,63147.50,59723.00
65,69495.67,76198.00,80763.00,75485.56
65.01,57045.00,59964.00,59118.00,58709.00
65.02,66442.00,61750.00,67717.00,65303.00
