UID,Borough,IssueDate,ExpirationDate
0,Brooklyn,12/29/14,1/30/16
1,Brooklyn,1/7/15,1/30/16
2,Bronx,1/17/15,2/2/16
3,Brooklyn,3/1/15,3/28/16
4,Bronx,3/9/15,3/9/16
5,Brooklyn,3/27/15,3/29/16
6,Manhattan,4/6/15,4/6/16
7,Staten Island,4/10/15,3/30/16
8,Brooklyn,4/13/15,3/6/18
9,Bronx,4/21/15,3/24/16
10,Manhattan,5/1/15,3/18/16
11,Queens,5/6/15,5/6/16
12,Queens,5/7/15,5/7/16
13,Bronx,5/8/15,5/8/16
14,Queens,5/14/15,5/14/16
15,Queens,5/25/15,4/28/16
16,Bronx,6/5/15,6/17/16
17,Bronx,6/8/15,6/21/16
18,Bronx,6/21/15,7/18/16
19,Bronx,6/22/15,7/5/16
20,Bronx,7/25/15,7/25/16
21,Brooklyn,7/27/15,7/30/16
22,Bronx,7/28/15,5/28/16
23,Queens,7/28/15,7/28/16
24,Bronx,7/29/15,8/13/16
25,Bronx,7/31/15,8/15/17
26,Brooklyn,8/12/15,8/30/16
27,Manhattan,8/13/15,8/30/16
28,Queens,8/17/15,8/17/16
29,Queens,8/28/15,7/15/16
30,Manhattan,9/4/15,9/27/16
31,Bronx,9/23/15,9/26/16
32,Brooklyn,10/5/15,10/5/16
33,Queens,11/3/15,11/3/18
34,Queens,11/10/15,11/3/16
35,Queens,11/16/15,10/4/16
36,Queens,11/23/15,10/14/16
37,Manhattan,12/1/15,12/1/17
38,Bronx,12/4/15,1/4/17
39,Bronx,12/16/15,1/29/17
40,Brooklyn,12/19/15,12/19/16
41,Brooklyn,12/21/15,1/19/17
42,Bronx,12/22/15,12/30/16
43,Queens,12/27/15,12/27/17
44,Brooklyn,12/28/15,1/30/17
45,Queens,1/15/16,2/12/17
46,Queens,1/17/16,3/2/17
47,Manhattan,2/2/16,4/5/17
48,Bronx,2/9/16,2/21/17
49,Bronx,2/12/16,12/30/16
50,Queens,2/13/16,4/22/17
51,Manhattan,2/20/16,4/18/17
52,Manhattan,2/22/16,2/22/19
53,Manhattan,2/26/16,3/17/17
54,Brooklyn,3/10/16,4/3/17
