OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790735749539|36001000100|Census Tract 1|2367456|245021|G5020|S|20740735749539|36001000100|Census Tract 1|2367456|245021|G5020|S|2367456|245021
2079015496728013|36001000201|Census Tract 2.01|615867|0|G5020|S|20740735750972|36001000200|Census Tract 2|2065161|0|G5020|S|615867|0
2079015496727675|36001000202|Census Tract 2.02|1441490|0|G5020|S|20740735750972|36001000200|Census Tract 2|2065161|0|G5020|S|1441490|0
2079015496727830|36001000301|Census Tract 3.01|659499|0|G5020|S|20740735749904|36001000300|Census Tract 3|5757438|55326|G5020|S|659499|0
2079015496727424|36001000302|Census Tract 3.02|5097939|55326|G5020|S|20740735749904|36001000300|Census Tract 3|5757438|55326|G5020|S|5097939|55326
20790735749744|36001000401|Census Tract 4.01|9037500|86162|G5020|S|20740735749744|36001000401|Census Tract 4.01|9065815|86327|G5020|S|9037500|86162
20790735749849|36001000403|Census Tract 4.03|3138700|0|G5020|S|20740735749849|36001000403|Census Tract 4.03|3138700|0|G5020|S|3138700|0
20790735748727|36001000404|Census Tract 4.04|1869128|84679|G5020|S|20740735749744|36001000401|Census Tract 4.01|9065815|86327|G5020|S|28315|165
20790735748727|36001000404|Census Tract 4.04|1869128|84679|G5020|S|20740735748727|36001000404|Census Tract 4.04|1840813|84514|G5020|S|1840813|84514
20790735750393|36001000501|Census Tract 5.01|547290|0|G5020|S|20740735750393|36001000501|Census Tract 5.01|547290|0|G5020|S|547290|0
20790735750452|36001000502|Census Tract 5.02|777455|0|G5020|S|20740735750452|36001000502|Census Tract 5.02|777455|0|G5020|S|777455|0
20790735750614|36001000600|Census Tract 6|506881|0|G5020|S|20740735750614|36001000600|Census Tract 6|506881|0|G5020|S|506881|0
20790735749489|36001000700|Census Tract 7|1593935|14749|G5020|S|20740735749489|36001000700|Census Tract 7|1593935|14749|G5020|S|1593935|14749
20790735750872|36001000800|Census Tract 8|344412|0|G5020|S|20740735750872|36001000800|Census Tract 8|344412|0|G5020|S|344412|0
20790735748137|36001001100|Census Tract 11|1740188|264496|G5020|S|20740735750972|36001000200|Census Tract 2|2065161|0|G5020|S|7804|0
20790735748137|36001001100|Census Tract 11|1740188|264496|G5020|S|20740735748137|36001001100|Census Tract 11|1733316|264496|G5020|S|1731595|264496
20790735748137|36001001100|Census Tract 11|1740188|264496|G5020|S|20740735751019|36001002500|Census Tract 25|666417|115684|G5020|S|789|0
20790735750096|36001001400|Census Tract 14|752787|25632|G5020|S|20740735750096|36001001400|Census Tract 14|752787|25632|G5020|S|752787|25632
20790735750664|36001001500|Census Tract 15|582402|0|G5020|S|20740735750664|36001001500|Census Tract 15|582402|0|G5020|S|582402|0
20790735750511|36001001600|Census Tract 16|915228|0|G5020|S|20740735750511|36001001600|Census Tract 16|915228|0|G5020|S|915228|0
20790735750342|36001001700|Census Tract 17|1368040|0|G5020|S|20740735750342|36001001700|Census Tract 17|1367247|0|G5020|S|1367247|0
20790735750342|36001001700|Census Tract 17|1368040|0|G5020|S|20740735748180|36001001801|Census Tract 18.01|8049528|20810|G5020|S|793|0
20790735749006|36001001802|Census Tract 18.02|1909982|0|G5020|S|20740735748180|36001001801|Census Tract 18.01|8049528|20810|G5020|S|4095|0
20790735749006|36001001802|Census Tract 18.02|1909982|0|G5020|S|20740735749006|36001001802|Census Tract 18.02|1905941|0|G5020|S|1905887|0
2079015496727446|36001001803|Census Tract 18.03|1769248|16372|G5020|S|20740735748180|36001001801|Census Tract 18.01|8049528|20810|G5020|S|1769194|16372
2079015496727446|36001001803|Census Tract 18.03|1769248|16372|G5020|S|20740735749006|36001001802|Census Tract 18.02|1905941|0|G5020|S|54|0
2079015496727429|36001001804|Census Tract 18.04|6275446|4438|G5020|S|20740735748180|36001001801|Census Tract 18.01|8049528|20810|G5020|S|6275446|4438
20790735750557|36001001901|Census Tract 19.01|870995|0|G5020|S|20740735750557|36001001901|Census Tract 19.01|870995|0|G5020|S|870995|0
20790735750297|36001001902|Census Tract 19.02|1172741|0|G5020|S|20740735750297|36001001902|Census Tract 19.02|1172741|0|G5020|S|1172741|0
20790735750770|36001002000|Census Tract 20|2891046|7882|G5020|S|20740735750770|36001002000|Census Tract 20|2891046|7882|G5020|S|2891046|7882
20790735750715|36001002100|Census Tract 21|1460594|0|G5020|S|20740735750715|36001002100|Census Tract 21|1460594|0|G5020|S|1460594|0
